input_bits_,entry_count_,hash_count_,bpi_count_,accuracy_mean,accuracy_std,accuracy_median,accuracy_max,precision_mean,precision_std,precision_median,precision_max,recall_mean,recall_std,recall_median,recall_max,f1_score_mean,f1_score_std,f1_score_median,f1_score_max
4,128,1,16,64.0108,0.6683932865273716,63.9584,64.9178,0.47695,0.05035742914795257,0.46855,0.555,0.5968,0.019634538033752737,0.6051,0.6097,0.5285666666666666,0.03177701639471084,0.5161,0.581
4,128,2,32,63.295183333333334,0.7893662030477161,63.2753,64.2784,0.47225000000000006,0.0535060196060052,0.47050000000000003,0.5494,0.659,0.012681354808400252,0.66515,0.6725,0.5483,0.035767733032119664,0.5463,0.6048
4,128,3,4,63.629549999999995,0.9001850978188843,63.70495,64.8925,0.47483333333333333,0.05318042442383704,0.4709,0.56,0.6274333333333334,0.01687317132653272,0.6361,0.6417,0.5384166666666667,0.03204972132283693,0.53775,0.595
4,128,4,16,63.45196666666667,0.7679924071435662,63.303,64.5279,0.47313333333333335,0.05380036551557004,0.47225,0.5515,0.6444833333333333,0.006578129499295154,0.64385,0.6555,0.5439166666666667,0.035719550848928125,0.54455,0.5956
4,256,2,8,63.30746666666667,0.5362251101124281,63.447649999999996,64.0126,0.47231666666666666,0.05157527719631853,0.4697,0.5412,0.6621833333333333,0.0070107857846632106,0.66385,0.6725,0.5495833333333333,0.03419141402890628,0.5488,0.5957
4,256,3,8,64.15788333333333,0.5126167780839629,64.0767,65.1762,0.4802166666666667,0.05156107459516164,0.4783,0.5459,0.6365333333333334,0.01020789485243828,0.63645,0.6539,0.5456333333333333,0.03233689626935761,0.5437000000000001,0.5848
4,256,10,16,63.4752,0.436336306152766,63.38785,64.0115,0.47276666666666667,0.052317989898686905,0.46755,0.539,0.62675,0.014453363645546018,0.63025,0.6409,0.5370833333333334,0.03312851646771938,0.52935,0.5801
4,512,4,8,64.10173333333333,0.8754101359621397,64.1758,65.0145,0.47824999999999995,0.047990248660331476,0.4763,0.5504,0.5898833333333333,0.015080056384465485,0.595,0.6052,0.5264666666666666,0.026205483668531607,0.5233,0.5704
4,512,5,8,64.65496666666667,1.5239585241207276,65.21979999999999,65.8454,0.48479999999999995,0.047343520555061046,0.48905,0.561,0.5834833333333334,0.02014079630942269,0.5895,0.6015,0.5276666666666667,0.024660578543055534,0.5255000000000001,0.57
4,512,20,32,62.834999999999994,0.633735744939015,62.6726,63.753,0.46730000000000005,0.04843964164485078,0.46755,0.5274,0.6508333333333334,0.013432845595112115,0.65615,0.6667,0.5421833333333334,0.030797359859274908,0.5422,0.5843
4,1024,2,32,62.94421666666667,0.5321931562756042,62.964600000000004,63.5971,0.46863333333333335,0.05082090363039656,0.46615,0.5397,0.6584666666666666,0.01195475642233325,0.66395,0.6704,0.54575,0.03358230529684164,0.5426,0.5968
4,2048,3,32,62.54371666666667,0.6640953776908787,62.28795,63.6011,0.46395,0.04718415426186871,0.46475,0.528,0.6453666666666666,0.010481694604772152,0.6476,0.6571,0.5381833333333333,0.030461116344260058,0.5384500000000001,0.5795
4,4096,2,8,64.42696666666666,0.3854226947538074,64.31854999999999,65.2261,0.4827666666666666,0.0530899942176821,0.47935000000000005,0.5548,0.6271666666666667,0.007989378423742675,0.6265499999999999,0.6404,0.5438333333333334,0.033380119865492365,0.5415,0.5877
4,4096,2,32,63.48598333333334,0.6917955346284357,63.5351,64.5113,0.4735166666666667,0.051118574502991336,0.47335,0.5458,0.6448666666666667,0.01471524880815929,0.65065,0.6599,0.54425,0.03297443143545648,0.54315,0.5975
4,4096,3,128,63.089083333333335,0.7676405483379011,63.15455,64.3617,0.47056666666666663,0.051860039405604366,0.4711,0.5398,0.67325,0.008602536328601945,0.6756,0.6826,0.5522166666666667,0.035714389225707924,0.55325,0.6029
4,4096,5,16,63.81765,0.6071293579317092,63.69075,64.6443,0.4766333333333333,0.0524828037812142,0.47685,0.5439,0.6385166666666667,0.006219832220338575,0.639,0.6481,0.5440833333333334,0.03401326146236586,0.5453,0.588
4,4096,5,64,63.16196666666667,0.8658390705491325,62.9247,64.5612,0.47135000000000005,0.0522405079453776,0.4712,0.5455,0.6696833333333334,0.012569371748231974,0.6755500000000001,0.6801,0.5513833333333333,0.034999573022136195,0.5529999999999999,0.6054
4,4096,10,8,64.92496666666668,0.7068852213769337,65.1725,65.5086,0.4876,0.049798801897144696,0.48560000000000003,0.5467,0.6002666666666667,0.007298274074688737,0.60075,0.6078,0.5365500000000001,0.02954162388731264,0.5348999999999999,0.5728
4,4096,20,4,63.320750000000004,0.5529755490265624,63.429100000000005,64.1075,0.4733,0.0541899514484819,0.46645,0.5435,0.6512333333333333,0.019652597309403816,0.6510499999999999,0.6757,0.5455,0.030444527812778066,0.54435,0.5834
8,128,1,64,63.28665,0.7335776335285897,63.49895,64.0957,0.47133333333333327,0.05071506558306884,0.4696,0.5474,0.6433666666666668,0.012940344429978684,0.6475,0.656,0.54235,0.0328968295835335,0.5434,0.5963
8,128,5,32,63.978516666666664,0.8583242939445525,64.3136,64.8667,0.47859999999999997,0.05227714071504657,0.47885,0.5556,0.6302500000000001,0.014262395373418488,0.634,0.6454,0.542,0.030906852307426486,0.5426500000000001,0.5903
8,128,20,32,65.37263333333333,0.7810256571297579,65.30539999999999,66.3685,0.4925666666666667,0.050102108030004866,0.48729999999999996,0.5707,0.58905,0.008457732569871416,0.5902000000000001,0.5966,0.53505,0.0293018627737414,0.52965,0.5799
8,256,2,64,63.44863333333334,0.7902681858626159,63.48435,64.7902,0.4730666666666667,0.05300254025745385,0.4681,0.556,0.6418333333333334,0.017374674949734673,0.64995,0.6625,0.5427833333333333,0.034745189771974244,0.5377,0.6046
