portfolio_index,model_file,input_bits,entry_count,hash_count,bpi_count,accuracy,precision,recall,f1_score,true_positives,false_positives,false_negatives,eval_time_sec,error
0,['portfolio6']_4input_512entry_4hash_8bpi.pickle.lzma,4,512,4,8,65.0017,0.4605,0.5981,0.5204,1125,1318,756,5.9696,
0,['portfolio6']_4input_512entry_5hash_8bpi.pickle.lzma,4,512,5,8,65.8454,0.4701,0.5976,0.5262,1124,1267,757,6.543,
0,['portfolio6']_8input_512entry_10hash_16bpi.pickle.lzma,8,512,10,16,64.5629,0.457,0.6194,0.526,1165,1384,716,8.3606,
0,['portfolio6']_4input_4096entry_10hash_8bpi.pickle.lzma,4,4096,10,8,65.4573,0.4661,0.6071,0.5274,1142,1308,739,9.8179,
0,['portfolio6']_4input_128entry_1hash_16bpi.pickle.lzma,4,128,1,16,64.6811,0.4569,0.597,0.5176,1123,1335,758,9.9077,
0,['portfolio6']_8input_128entry_5hash_32bpi.pickle.lzma,8,128,5,32,64.8667,0.4618,0.6454,0.5384,1214,1415,667,11.0405,
0,['portfolio6']_8input_128entry_20hash_32bpi.pickle.lzma,8,128,20,32,66.0817,0.4725,0.5901,0.5248,1110,1239,771,11.1468,
0,['portfolio6']_4input_4096entry_2hash_8bpi.pickle.lzma,4,4096,2,8,64.4954,0.4571,0.6321,0.5306,1189,1412,692,7.519,
0,['portfolio6']_8input_1024entry_2hash_32bpi.pickle.lzma,8,1024,2,32,65.0523,0.4633,0.6385,0.537,1201,1391,680,11.4595,
0,['portfolio6']_8input_4096entry_1hash_16bpi.pickle.lzma,8,4096,1,16,65.0186,0.4621,0.6225,0.5305,1171,1363,710,9.8604,
0,['portfolio6']_8input_4096entry_20hash_16bpi.pickle.lzma,8,4096,20,16,64.1748,0.4532,0.6225,0.5245,1171,1413,710,9.8077,
0,['portfolio6']_8input_256entry_20hash_32bpi.pickle.lzma,8,256,20,32,65.1367,0.4647,0.6465,0.5407,1216,1401,665,11.3691,
0,['portfolio6']_4input_256entry_3hash_8bpi.pickle.lzma,4,256,3,8,64.2929,0.4556,0.6417,0.5329,1207,1442,674,7.0829,
0,['portfolio6']_8input_2048entry_2hash_32bpi.pickle.lzma,8,2048,2,32,64.0904,0.4515,0.6114,0.5194,1150,1397,731,11.7544,
0,['portfolio6']_8input_512entry_5hash_16bpi.pickle.lzma,8,512,5,16,64.3098,0.4565,0.6534,0.5375,1229,1463,652,7.9211,
0,['portfolio6']_4input_4096entry_5hash_16bpi.pickle.lzma,4,4096,5,16,64.5629,0.4588,0.6481,0.5372,1219,1438,662,11.9289,
0,['portfolio6']_8input_512entry_4hash_16bpi.pickle.lzma,8,512,4,16,64.5798,0.459,0.6481,0.5374,1219,1437,662,7.3936,
0,['portfolio6']_8input_256entry_4hash_64bpi.pickle.lzma,8,256,4,64,63.7698,0.4479,0.6077,0.5157,1143,1409,738,23.5904,
0,['portfolio6']_8input_256entry_2hash_64bpi.pickle.lzma,8,256,2,64,63.7192,0.4504,0.6486,0.5316,1220,1489,661,20.3863,
0,['portfolio6']_4input_128entry_3hash_4bpi.pickle.lzma,4,128,3,4,64.3267,0.4557,0.6374,0.5315,1199,1432,682,3.4709,
0,['portfolio6']_8input_128entry_1hash_64bpi.pickle.lzma,8,128,1,64,63.6517,0.4502,0.656,0.534,1234,1507,647,23.7222,
