input_bits_,entry_count_,hash_count_,bpi_count_,accuracy_mean,precision_mean,recall_mean,f1_score_mean
8,256,3,16,68.0751,0.6719,0.3817,0.4868
8,128,3,128,67.9577,0.6857,0.355,0.4678
8,1024,4,64,67.9577,0.6836,0.358,0.4699
8,1024,4,8,67.8404,0.6739,0.3669,0.4751
16,256,20,32,67.8404,0.7025,0.3284,0.4476
16,512,20,128,67.8404,0.6758,0.3639,0.4731
4,128,2,16,67.723,0.7032,0.3225,0.4422
4,128,4,8,67.6056,0.6649,0.3698,0.4753
4,512,5,8,67.6056,0.6742,0.355,0.4651
8,128,10,128,67.6056,0.689,0.3343,0.4502
8,512,2,64,67.6056,0.6782,0.3491,0.4609
16,128,4,128,67.6056,0.6722,0.358,0.4672
4,128,10,64,67.4883,0.6685,0.358,0.4663
8,1024,3,64,67.4883,0.6649,0.3639,0.4704
8,1024,5,128,67.4883,0.6848,0.3343,0.4493
8,1024,10,32,67.4883,0.6704,0.355,0.4642
4,512,2,16,67.3709,0.6613,0.3639,0.4695
4,512,5,128,67.3709,0.6685,0.3521,0.4612
4,1024,5,32,67.3709,0.663,0.3609,0.4674
8,256,2,16,67.3709,0.6596,0.3669,0.4715
8,256,5,128,67.3709,0.6786,0.3373,0.4506
16,256,2,64,67.3709,0.7113,0.2988,0.4208
16,256,4,64,67.3709,0.6724,0.3462,0.457
16,1024,4,32,67.3709,0.6744,0.3432,0.4549
4,256,3,32,67.2535,0.6578,0.3639,0.4686
4,512,4,16,67.2535,0.6879,0.3195,0.4364
4,1024,3,32,67.2535,0.6903,0.3166,0.4341
8,128,10,64,67.2535,0.6578,0.3639,0.4686
8,256,3,8,67.2535,0.6746,0.3373,0.4497
8,256,10,64,67.2535,0.6545,0.3698,0.4726
8,512,2,16,67.2535,0.6686,0.3462,0.4561
8,512,5,16,67.2535,0.6578,0.3639,0.4686
16,512,20,64,67.2535,0.6595,0.3609,0.4665
16,1024,20,32,67.2535,0.6545,0.3698,0.4726
4,128,2,64,67.1362,0.6543,0.3639,0.4677
4,128,10,16,67.1362,0.6706,0.3373,0.4488
4,1024,2,64,67.1362,0.6726,0.3343,0.4466
4,1024,5,16,67.1362,0.6667,0.3432,0.4531
8,128,3,32,67.1362,0.6686,0.3402,0.451
8,512,4,4,67.1362,0.6706,0.3373,0.4488
8,512,10,8,67.1362,0.6768,0.3284,0.4422
8,512,20,32,67.1362,0.6526,0.3669,0.4697
16,256,5,128,67.1362,0.6648,0.3462,0.4553
16,256,10,64,67.1362,0.6686,0.3402,0.451
16,512,10,128,67.1362,0.6543,0.3639,0.4677
16,1024,20,128,67.1362,0.6543,0.3639,0.4677
4,128,5,4,67.0188,0.6966,0.2988,0.4182
4,256,3,4,67.0188,0.6748,0.3254,0.4391
4,256,10,16,67.0188,0.6575,0.3521,0.4586
4,256,20,128,67.0188,0.6592,0.3491,0.4565
4,512,5,32,67.0188,0.6887,0.3077,0.4254
4,512,10,32,67.0188,0.6667,0.3373,0.4479
4,512,10,64,67.0188,0.6524,0.3609,0.4648
4,1024,2,128,67.0188,0.6575,0.3521,0.4586
4,1024,10,32,67.0188,0.6524,0.3609,0.4648
8,128,3,8,67.0188,0.6432,0.3787,0.4767
8,128,10,16,67.0188,0.6727,0.3284,0.4414
8,256,3,32,67.0188,0.6524,0.3609,0.4648
8,256,3,128,67.0188,0.6748,0.3254,0.4391
8,256,20,32,67.0188,0.6508,0.3639,0.4668
8,1024,10,64,67.0188,0.6524,0.3609,0.4648
4,128,3,128,66.9014,0.6687,0.3284,0.4405
4,128,10,32,66.9014,0.6795,0.3136,0.4291
4,256,3,64,66.9014,0.6573,0.3462,0.4535
4,256,4,32,66.9014,0.6647,0.3343,0.4449
4,512,5,64,66.9014,0.6591,0.3432,0.4514
4,512,10,16,66.9014,0.64,0.3787,0.4758
8,128,4,32,66.9014,0.6458,0.3669,0.4679
8,128,5,16,66.9014,0.6538,0.3521,0.4577
8,128,20,128,66.9014,0.6795,0.3136,0.4291
8,256,4,4,66.9014,0.6707,0.3254,0.4382
8,256,4,128,66.9014,0.6538,0.3521,0.4577
