model_file,accuracy,precision,recall,f1_score,true_positives,false_positives,false_negatives
['portfolio6']_16input_1024entry_10hash_16bpi.pickle.lzma,60.64082278,0.775614754,0.299446203,0.432077626,757,219,1771
['portfolio6']_16input_1024entry_10hash_32bpi.pickle.lzma,61.29351266,0.906116643,0.251977848,0.394305169,637,66,1891
['portfolio6']_16input_1024entry_10hash_4bpi.pickle.lzma,59.21677215,0.822714681,0.234968354,0.365538462,594,128,1934
['portfolio6']_16input_1024entry_10hash_8bpi.pickle.lzma,61.33306962,0.809061489,0.296677215,0.434153401,750,177,1778
['portfolio6']_16input_1024entry_20hash_16bpi.pickle.lzma,61.94620253,0.771095153,0.339794304,0.471718836,859,255,1669
['portfolio6']_16input_1024entry_20hash_32bpi.pickle.lzma,62.24287975,0.797310279,0.328322785,0.465116279,830,211,1698
['portfolio6']_16input_1024entry_20hash_4bpi.pickle.lzma,57.23892405,0.791401274,0.196598101,0.31495564,497,131,2031
['portfolio6']_16input_1024entry_20hash_8bpi.pickle.lzma,58.1289557,0.789844852,0.221518987,0.345999382,560,149,1968
['portfolio6']_16input_1024entry_5hash_16bpi.pickle.lzma,62.46044304,0.896725441,0.28164557,0.428657435,712,82,1816
['portfolio6']_16input_1024entry_5hash_32bpi.pickle.lzma,64.53718354,0.933884298,0.31289557,0.468740741,791,56,1737
['portfolio6']_16input_1024entry_5hash_4bpi.pickle.lzma,58.06962025,0.845762712,0.197389241,0.320076972,499,91,2029
['portfolio6']_16input_1024entry_5hash_8bpi.pickle.lzma,60.5221519,0.812941176,0.273338608,0.409117821,691,159,1837
['portfolio6']_16input_128entry_10hash_16bpi.pickle.lzma,55.55775316,0.802150538,0.147547468,0.249248246,373,92,2155
['portfolio6']_16input_128entry_10hash_32bpi.pickle.lzma,59.63212025,0.764386536,0.278481013,0.408234271,704,217,1824
['portfolio6']_16input_128entry_10hash_4bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_16input_128entry_10hash_8bpi.pickle.lzma,56.13132911,0.770979021,0.174446203,0.284516129,441,131,2087
['portfolio6']_16input_128entry_20hash_16bpi.pickle.lzma,56.13132911,0.800387597,0.163370253,0.271353482,413,103,2115
['portfolio6']_16input_128entry_20hash_32bpi.pickle.lzma,56.74446203,0.806104129,0.177610759,0.2910859,449,108,2079
['portfolio6']_16input_128entry_20hash_4bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_16input_128entry_20hash_8bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_16input_128entry_5hash_16bpi.pickle.lzma,56.46756329,0.774789916,0.182357595,0.295228947,461,134,2067
['portfolio6']_16input_128entry_5hash_32bpi.pickle.lzma,60.95727848,0.782077393,0.303797468,0.437606838,768,214,1760
['portfolio6']_16input_128entry_5hash_4bpi.pickle.lzma,55.14240506,0.811004785,0.134098101,0.230142566,339,79,2189
['portfolio6']_16input_128entry_5hash_8bpi.pickle.lzma,54.25237342,0.777777778,0.119066456,0.20651801,301,86,2227
['portfolio6']_16input_256entry_10hash_16bpi.pickle.lzma,59.82990506,0.79408284,0.265427215,0.397865402,671,174,1857
['portfolio6']_16input_256entry_10hash_32bpi.pickle.lzma,61.86708861,0.775229358,0.334256329,0.4671089,845,245,1683
['portfolio6']_16input_256entry_10hash_4bpi.pickle.lzma,54.19303797,0.776041667,0.117879747,0.20467033,298,86,2230
['portfolio6']_16input_256entry_10hash_8bpi.pickle.lzma,57.69382911,0.780663781,0.214003165,0.335920522,541,152,1987
['portfolio6']_16input_256entry_20hash_16bpi.pickle.lzma,59.27610759,0.780838323,0.257911392,0.387749034,652,183,1876
['portfolio6']_16input_256entry_20hash_32bpi.pickle.lzma,61.3528481,0.761384335,0.330696203,0.461114175,836,262,1692
['portfolio6']_16input_256entry_20hash_4bpi.pickle.lzma,54.54905063,0.768691589,0.130142405,0.222598106,329,99,2199
['portfolio6']_16input_256entry_20hash_8bpi.pickle.lzma,54.17325949,0.779840849,0.116297468,0.202409639,294,83,2234
['portfolio6']_16input_256entry_5hash_16bpi.pickle.lzma,58.32674051,0.808199122,0.21835443,0.343818125,552,131,1976
['portfolio6']_16input_256entry_5hash_32bpi.pickle.lzma,60.32436709,0.771309771,0.293512658,0.4252149,742,220,1786
['portfolio6']_16input_256entry_5hash_4bpi.pickle.lzma,56.64556962,0.808823529,0.174050633,0.286458333,440,104,2088
['portfolio6']_16input_256entry_5hash_8bpi.pickle.lzma,58.90031646,0.793733681,0.240506329,0.369156041,608,158,1920
['portfolio6']_16input_512entry_10hash_16bpi.pickle.lzma,59.23655063,0.805228758,0.243670886,0.374126936,616,149,1912
['portfolio6']_16input_512entry_10hash_32bpi.pickle.lzma,60.24525316,0.753424658,0.304588608,0.433802817,770,252,1758
['portfolio6']_16input_512entry_10hash_4bpi.pickle.lzma,57.43670886,0.807189542,0.195411392,0.314649682,494,118,2034
['portfolio6']_16input_512entry_10hash_8bpi.pickle.lzma,58.80142405,0.775030902,0.248022152,0.375786635,627,182,1901
['portfolio6']_16input_512entry_20hash_16bpi.pickle.lzma,59.63212025,0.778285714,0.269382911,0.400235087,681,194,1847
['portfolio6']_16input_512entry_20hash_32bpi.pickle.lzma,60.97705696,0.766570605,0.315664557,0.447184085,798,243,1730
['portfolio6']_16input_512entry_20hash_4bpi.pickle.lzma,54.86550633,0.787383178,0.133306962,0.228010825,337,91,2191
['portfolio6']_16input_512entry_20hash_8bpi.pickle.lzma,59.49367089,0.775862069,0.267009494,0.397292525,675,195,1853
['portfolio6']_16input_512entry_5hash_16bpi.pickle.lzma,55.20174051,0.772256729,0.147547468,0.24775822,373,110,2155
['portfolio6']_16input_512entry_5hash_32bpi.pickle.lzma,62.51977848,0.804619827,0.330696203,0.468741239,836,203,1692
['portfolio6']_16input_512entry_5hash_4bpi.pickle.lzma,58.66297468,0.798365123,0.231803797,0.35928878,586,148,1942
['portfolio6']_16input_512entry_5hash_8bpi.pickle.lzma,60.26503165,0.797250859,0.275316456,0.409291385,696,177,1832
['portfolio6']_32input_1024entry_10hash_16bpi.pickle.lzma,53.34256329,0.872246696,0.078322785,0.143738657,198,29,2330
['portfolio6']_32input_1024entry_10hash_32bpi.pickle.lzma,55.55775316,0.838554217,0.137658228,0.236493374,348,67,2180
['portfolio6']_32input_1024entry_10hash_4bpi.pickle.lzma,50.33623418,0.72972973,0.01068038,0.021052632,27,10,2501
['portfolio6']_32input_1024entry_10hash_8bpi.pickle.lzma,50.98892405,0.75,0.029667722,0.057077626,75,25,2453
['portfolio6']_32input_1024entry_20hash_16bpi.pickle.lzma,51.06803797,0.821428571,0.027294304,0.052833078,69,15,2459
['portfolio6']_32input_1024entry_20hash_32bpi.pickle.lzma,54.11392405,0.815151515,0.106408228,0.188243527,269,61,2259
['portfolio6']_32input_1024entry_20hash_4bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_1024entry_20hash_8bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_1024entry_5hash_16bpi.pickle.lzma,56.17088608,0.871428571,0.144778481,0.248303935,366,54,2162
['portfolio6']_32input_1024entry_5hash_32bpi.pickle.lzma,59.25632911,0.845132743,0.226661392,0.357454772,573,105,1955
['portfolio6']_32input_1024entry_5hash_4bpi.pickle.lzma,52.61075949,0.817307692,0.067246835,0.124269006,170,38,2358
['portfolio6']_32input_1024entry_5hash_8bpi.pickle.lzma,53.36234177,0.807971014,0.088212025,0.159058488,223,53,2305
['portfolio6']_32input_128entry_10hash_16bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_128entry_10hash_32bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_128entry_10hash_4bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_128entry_10hash_8bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_128entry_20hash_16bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_128entry_20hash_32bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_128entry_20hash_4bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_128entry_20hash_8bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_128entry_5hash_16bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_128entry_5hash_32bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_128entry_5hash_4bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_128entry_5hash_8bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_256entry_10hash_16bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_256entry_10hash_32bpi.pickle.lzma,51.20648734,0.736434109,0.037579114,0.071509221,95,34,2433
['portfolio6']_32input_256entry_10hash_4bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_256entry_10hash_8bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_256entry_20hash_16bpi.pickle.lzma,51.20648734,0.779816514,0.033623418,0.064467198,85,24,2443
['portfolio6']_32input_256entry_20hash_32bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_256entry_20hash_4bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_256entry_20hash_8bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_256entry_5hash_16bpi.pickle.lzma,53.30300633,0.805860806,0.087025316,0.157086755,220,53,2308
['portfolio6']_32input_256entry_5hash_32bpi.pickle.lzma,50.96914557,0.769230769,0.027689873,0.053455517,70,21,2458
['portfolio6']_32input_256entry_5hash_4bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_256entry_5hash_8bpi.pickle.lzma,50.77136076,0.8,0.02056962,0.040107983,52,13,2476
['portfolio6']_32input_512entry_10hash_16bpi.pickle.lzma,50.51424051,0.671052632,0.020174051,0.039170507,51,25,2477
['portfolio6']_32input_512entry_10hash_32bpi.pickle.lzma,51.52294304,0.74522293,0.046281646,0.087150838,117,40,2411
['portfolio6']_32input_512entry_10hash_4bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_512entry_10hash_8bpi.pickle.lzma,50.49446203,0.931034483,0.01068038,0.021118498,27,2,2501
['portfolio6']_32input_512entry_20hash_16bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_512entry_20hash_32bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_512entry_20hash_4bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_512entry_20hash_8bpi.pickle.lzma,50,0,0,0,0,0,2528
['portfolio6']_32input_512entry_5hash_16bpi.pickle.lzma,51.58227848,0.850877193,0.038370253,0.07342922,97,17,2431
['portfolio6']_32input_512entry_5hash_32bpi.pickle.lzma,54.60838608,0.762979684,0.133702532,0.227532817,338,105,2190
['portfolio6']_32input_512entry_5hash_4bpi.pickle.lzma,50.3164557,1,0.006329114,0.012578616,16,0,2512
['portfolio6']_32input_512entry_5hash_8bpi.pickle.lzma,50.01977848,0.529411765,0.003560127,0.007072692,9,8,2519
['portfolio6']_4input_1024entry_10hash_16bpi.pickle.lzma,60.12658228,0.788288288,0.276898734,0.409836066,700,188,1828
['portfolio6']_4input_1024entry_10hash_32bpi.pickle.lzma,61.49129747,0.770232558,0.327531646,0.459616986,828,247,1700
['portfolio6']_4input_1024entry_10hash_4bpi.pickle.lzma,60.12658228,0.775268817,0.285205696,0.417004049,721,209,1807
['portfolio6']_4input_1024entry_10hash_8bpi.pickle.lzma,60.34414557,0.776135164,0.290743671,0.423021583,735,212,1793
['portfolio6']_4input_1024entry_20hash_16bpi.pickle.lzma,61.27373418,0.777777778,0.315664557,0.449071469,798,228,1730
['portfolio6']_4input_1024entry_20hash_32bpi.pickle.lzma,61.7681962,0.771689498,0.334256329,0.466464256,845,250,1683
['portfolio6']_4input_1024entry_20hash_4bpi.pickle.lzma,60.38370253,0.77719113,0.291139241,0.423597122,736,211,1792
['portfolio6']_4input_1024entry_20hash_8bpi.pickle.lzma,62.24287975,0.743509048,0.373813291,0.497499342,945,326,1583
['portfolio6']_4input_1024entry_5hash_16bpi.pickle.lzma,62.34177215,0.766211604,0.355221519,0.485405405,898,274,1630
['portfolio6']_4input_1024entry_5hash_32bpi.pickle.lzma,62.10443038,0.756711409,0.356803797,0.484946237,902,290,1626
['portfolio6']_4input_1024entry_5hash_4bpi.pickle.lzma,61.07594937,0.746478873,0.335443038,0.462882096,848,288,1680
['portfolio6']_4input_1024entry_5hash_8bpi.pickle.lzma,59.55300633,0.775370582,0.268987342,0.399412628,680,197,1848
['portfolio6']_4input_128entry_10hash_16bpi.pickle.lzma,62.22310127,0.772007042,0.346914557,0.47871179,877,259,1651
['portfolio6']_4input_128entry_10hash_32bpi.pickle.lzma,61.72863924,0.781042654,0.325949367,0.459949763,824,231,1704
['portfolio6']_4input_128entry_10hash_4bpi.pickle.lzma,58.52452532,0.797241379,0.228639241,0.355364279,578,147,1950
['portfolio6']_4input_128entry_10hash_8bpi.pickle.lzma,59.59256329,0.789034565,0.261867089,0.393228393,662,177,1866
['portfolio6']_4input_128entry_20hash_16bpi.pickle.lzma,62.20332278,0.769432314,0.348496835,0.479716853,881,264,1647
['portfolio6']_4input_128entry_20hash_32bpi.pickle.lzma,60.95727848,0.787941788,0.299841772,0.434383954,758,204,1770
['portfolio6']_4input_128entry_20hash_4bpi.pickle.lzma,58.50474684,0.780678851,0.236550633,0.363084396,598,168,1930
['portfolio6']_4input_128entry_20hash_8bpi.pickle.lzma,60.44303797,0.75631068,0.308148734,0.437886453,779,251,1749
['portfolio6']_4input_128entry_5hash_16bpi.pickle.lzma,62.85601266,0.778253425,0.359572785,0.491883117,909,259,1619
['portfolio6']_4input_128entry_5hash_32bpi.pickle.lzma,61.7681962,0.765388046,0.339398734,0.470265826,858,263,1670
['portfolio6']_4input_128entry_5hash_4bpi.pickle.lzma,59.77056962,0.7702407,0.278481013,0.409064497,704,210,1824
['portfolio6']_4input_128entry_5hash_8bpi.pickle.lzma,60.87816456,0.77281746,0.308148734,0.44061086,779,229,1749
['portfolio6']_4input_256entry_10hash_16bpi.pickle.lzma,61.37262658,0.782694199,0.314873418,0.449083216,796,221,1732
['portfolio6']_4input_256entry_10hash_32bpi.pickle.lzma,61.01661392,0.776015857,0.309731013,0.442748092,783,226,1745
['portfolio6']_4input_256entry_10hash_4bpi.pickle.lzma,61.2539557,0.779195289,0.314082278,0.447702284,794,225,1734
['portfolio6']_4input_256entry_10hash_8bpi.pickle.lzma,61.27373418,0.75862069,0.330696203,0.460606061,836,266,1692
['portfolio6']_4input_256entry_20hash_16bpi.pickle.lzma,61.7681962,0.774193548,0.332278481,0.464987545,840,245,1688
['portfolio6']_4input_256entry_20hash_32bpi.pickle.lzma,62.99446203,0.756841282,0.382911392,0.508536906,968,311,1560
['portfolio6']_4input_256entry_20hash_4bpi.pickle.lzma,60.5221519,0.766533066,0.302610759,0.433919455,765,233,1763
['portfolio6']_4input_256entry_20hash_8bpi.pickle.lzma,60.06724684,0.784994401,0.277294304,0.40982169,701,192,1827
['portfolio6']_4input_256entry_5hash_16bpi.pickle.lzma,60.99683544,0.77254902,0.311708861,0.444193912,788,232,1740
['portfolio6']_4input_256entry_5hash_32bpi.pickle.lzma,61.21439873,0.774975752,0.316060127,0.449002529,799,232,1729
['portfolio6']_4input_256entry_5hash_4bpi.pickle.lzma,60.9375,0.751592357,0.326740506,0.455472843,826,273,1702
['portfolio6']_4input_256entry_5hash_8bpi.pickle.lzma,60.6210443,0.75547098,0.314082278,0.443699357,794,257,1734
['portfolio6']_4input_512entry_10hash_16bpi.pickle.lzma,61.88686709,0.779534884,0.331487342,0.465167916,838,237,1690
['portfolio6']_4input_512entry_10hash_32bpi.pickle.lzma,60.99683544,0.773622047,0.310917722,0.443566591,786,230,1742
['portfolio6']_4input_512entry_10hash_4bpi.pickle.lzma,61.45174051,0.767807586,0.328322785,0.459961208,830,251,1698
['portfolio6']_4input_512entry_10hash_8bpi.pickle.lzma,61.55063291,0.760249554,0.337420886,0.46739726,853,269,1675
['portfolio6']_4input_512entry_20hash_16bpi.pickle.lzma,61.39240506,0.77480916,0.321202532,0.454138702,812,236,1716
['portfolio6']_4input_512entry_20hash_32bpi.pickle.lzma,62.00553797,0.775158658,0.338212025,0.470944643,855,248,1673
['portfolio6']_4input_512entry_20hash_4bpi.pickle.lzma,61.27373418,0.770398482,0.321202532,0.453378001,812,242,1716
['portfolio6']_4input_512entry_20hash_8bpi.pickle.lzma,62.95490506,0.751343054,0.387262658,0.511093709,979,324,1549
['portfolio6']_4input_512entry_5hash_16bpi.pickle.lzma,62.0846519,0.775473399,0.340189873,0.472917239,860,249,1668
['portfolio6']_4input_512entry_5hash_32bpi.pickle.lzma,60.77927215,0.78238342,0.298655063,0.432293158,755,210,1773
['portfolio6']_4input_512entry_5hash_4bpi.pickle.lzma,61.98575949,0.760309278,0.350079114,0.479414951,885,279,1643
['portfolio6']_4input_512entry_5hash_8bpi.pickle.lzma,62.16376582,0.749796913,0.365110759,0.491088055,923,308,1605
['portfolio6']_8input_1024entry_10hash_16bpi.pickle.lzma,60.46281646,0.764764765,0.30221519,0.433229373,764,235,1764
['portfolio6']_8input_1024entry_10hash_32bpi.pickle.lzma,62.04509494,0.759590793,0.352452532,0.481491489,891,282,1637
['portfolio6']_8input_1024entry_10hash_4bpi.pickle.lzma,59.59256329,0.79252111,0.259889241,0.391420912,657,172,1871
['portfolio6']_8input_1024entry_10hash_8bpi.pickle.lzma,57.53560127,0.768688293,0.215585443,0.336731542,545,164,1983
['portfolio6']_8input_1024entry_20hash_16bpi.pickle.lzma,62.00553797,0.774660633,0.338607595,0.471235893,856,249,1672
