model_file,accuracy,precision,recall,f1_score,true_positives,false_positives,false_negatives
['portfolio6']_16input_1024entry_1hash_16bpi.pickle.lzma,55.885363357215965,0.4392857142857143,0.30982367758186397,0.36336779911373707,123,157,274
['portfolio6']_16input_1024entry_1hash_32bpi.pickle.lzma,59.46775844421699,0.5016949152542373,0.37279596977329976,0.4277456647398844,148,147,249
['portfolio6']_16input_1024entry_1hash_64bpi.pickle.lzma,60.184237461617194,0.510752688172043,0.47858942065491183,0.494148244473342,190,182,207
['portfolio6']_16input_1024entry_2hash_16bpi.pickle.lzma,54.65711361310133,0.4339080459770115,0.380352644836272,0.40536912751677856,151,197,246
['portfolio6']_16input_1024entry_2hash_32bpi.pickle.lzma,59.16069600818833,0.49732620320855614,0.46851385390428213,0.48249027237354086,186,188,211
['portfolio6']_16input_1024entry_2hash_64bpi.pickle.lzma,59.570112589559876,0.5025252525252525,0.5012594458438288,0.5018915510718789,199,197,198
['portfolio6']_16input_1024entry_3hash_16bpi.pickle.lzma,59.26305015353122,0.4983277591973244,0.37531486146095716,0.42816091954022983,149,150,248
['portfolio6']_16input_1024entry_3hash_32bpi.pickle.lzma,60.08188331627431,0.5096952908587258,0.4634760705289673,0.48548812664907653,184,177,213
['portfolio6']_16input_1024entry_3hash_64bpi.pickle.lzma,55.885363357215965,0.45058139534883723,0.3904282115869018,0.41835357624831315,155,189,242
['portfolio6']_16input_1024entry_4hash_16bpi.pickle.lzma,62.53838280450358,0.5413333333333333,0.5113350125944585,0.5259067357512953,203,172,194
['portfolio6']_16input_1024entry_4hash_32bpi.pickle.lzma,57.11361310133061,0.4691011235955056,0.42065491183879095,0.4435590969455511,167,189,230
['portfolio6']_16input_1024entry_4hash_64bpi.pickle.lzma,59.46775844421699,0.5012658227848101,0.4987405541561713,0.5,198,197,199
['portfolio6']_16input_2048entry_1hash_16bpi.pickle.lzma,57.01125895598772,0.4646153846153846,0.380352644836272,0.4182825484764543,151,174,246
['portfolio6']_16input_2048entry_1hash_32bpi.pickle.lzma,58.44421699078812,0.4884910485933504,0.4811083123425693,0.484771573604061,191,200,206
['portfolio6']_16input_2048entry_1hash_64bpi.pickle.lzma,61.61719549641761,0.529891304347826,0.491183879093199,0.5098039215686274,195,173,202
['portfolio6']_16input_2048entry_2hash_16bpi.pickle.lzma,59.77482088024565,0.5067567567567568,0.3778337531486146,0.4329004329004329,150,146,247
['portfolio6']_16input_2048entry_2hash_32bpi.pickle.lzma,57.01125895598772,0.46647230320699706,0.40302267002518893,0.43243243243243246,160,183,237
['portfolio6']_16input_2048entry_2hash_64bpi.pickle.lzma,59.77482088024565,0.5053763440860215,0.473551637279597,0.4889466840052016,188,184,209
['portfolio6']_16input_2048entry_3hash_16bpi.pickle.lzma,55.27123848515865,0.41228070175438597,0.2367758186397985,0.30079999999999996,94,134,303
['portfolio6']_16input_2048entry_3hash_32bpi.pickle.lzma,61.61719549641761,0.5284974093264249,0.5138539042821159,0.5210727969348659,204,182,193
['portfolio6']_16input_2048entry_3hash_64bpi.pickle.lzma,58.54657113613101,0.49019607843137253,0.5037783375314862,0.4968944099378882,200,208,197
['portfolio6']_16input_2048entry_4hash_16bpi.pickle.lzma,59.67246673490276,0.5058823529411764,0.3249370277078086,0.3957055214723927,129,126,268
['portfolio6']_16input_2048entry_4hash_32bpi.pickle.lzma,61.412487205731836,0.5304878048780488,0.43828715365239296,0.4800000000000001,174,154,223
['portfolio6']_16input_2048entry_4hash_64bpi.pickle.lzma,61.10542476970318,0.5231607629427792,0.4836272040302267,0.5026178010471203,192,175,205
['portfolio6']_16input_512entry_1hash_16bpi.pickle.lzma,58.034800409416576,0.4812680115273775,0.42065491183879095,0.4489247311827957,167,180,230
['portfolio6']_16input_512entry_1hash_32bpi.pickle.lzma,60.28659160696008,0.5113924050632911,0.5088161209068011,0.5101010101010102,202,193,195
['portfolio6']_16input_512entry_1hash_64bpi.pickle.lzma,56.70419651995906,0.4666666666666667,0.45843828715365237,0.46251588310038116,182,208,215
['portfolio6']_16input_512entry_2hash_16bpi.pickle.lzma,58.853633572159666,0.4930747922437673,0.44836272040302266,0.46965699208443273,178,183,219
