model_file,accuracy,precision,recall,f1_score,true_positives,false_positives,false_negatives
['portfolio6']_16input_1024entry_5hash_32bpi.pickle.lzma,75.63291139,0.921326398,0.560522152,0.696999508,1417,121,1111
['portfolio6']_32input_1024entry_5hash_32bpi.pickle.lzma,74.96044304,0.776511832,0.700949367,0.736798337,1772,510,756
['portfolio6']_16input_1024entry_10hash_32bpi.pickle.lzma,72.82436709,0.839012926,0.564873418,0.675177305,1428,274,1100
['portfolio6']_16input_1024entry_5hash_16bpi.pickle.lzma,71.73655063,0.786347056,0.596914557,0.678659771,1509,410,1019
['portfolio6']_16input_512entry_5hash_32bpi.pickle.lzma,71.36075949,0.793478261,0.577531646,0.668498168,1460,380,1068
['portfolio6']_32input_1024entry_5hash_16bpi.pickle.lzma,70.37183544,0.751464844,0.608781646,0.67263986,1539,509,989
['portfolio6']_16input_1024entry_10hash_16bpi.pickle.lzma,70.27294304,0.795389049,0.545886076,0.647431386,1380,355,1148
['portfolio6']_16input_1024entry_20hash_32bpi.pickle.lzma,70.27294304,0.728488631,0.646360759,0.684971704,1634,609,894
['portfolio6']_16input_512entry_10hash_32bpi.pickle.lzma,69.40268987,0.730606488,0.61471519,0.667669173,1554,573,974
['portfolio6']_16input_512entry_5hash_16bpi.pickle.lzma,69.20490506,0.755660874,0.567642405,0.648294556,1435,464,1093
['portfolio6']_16input_256entry_5hash_32bpi.pickle.lzma,68.78955696,0.726838586,0.602056962,0.658589355,1522,572,1006
['portfolio6']_32input_1024entry_10hash_32bpi.pickle.lzma,68.69066456,0.72467903,0.602848101,0.658173181,1524,579,1004
['portfolio6']_16input_512entry_20hash_32bpi.pickle.lzma,67.95886076,0.702137133,0.623813291,0.660661919,1577,669,951
['portfolio6']_16input_1024entry_20hash_16bpi.pickle.lzma,67.84018987,0.746987952,0.539556962,0.626550299,1364,462,1164
['portfolio6']_16input_512entry_10hash_16bpi.pickle.lzma,67.54351266,0.699505173,0.615110759,0.654599032,1555,668,973
['portfolio6']_16input_512entry_20hash_16bpi.pickle.lzma,67.48417722,0.686340641,0.643987342,0.664489796,1628,744,900
['portfolio6']_8input_512entry_10hash_32bpi.pickle.lzma,67.42484177,0.707294118,0.594541139,0.646034816,1503,622,1025
['portfolio6']_16input_256entry_5hash_16bpi.pickle.lzma,67.40506329,0.699818347,0.609572785,0.651585624,1541,661,987
['portfolio6']_8input_1024entry_20hash_32bpi.pickle.lzma,67.32594937,0.707779886,0.590189873,0.643658326,1492,616,1036
['portfolio6']_8input_512entry_5hash_32bpi.pickle.lzma,67.24683544,0.723360656,0.558544304,0.630357143,1412,540,1116
['portfolio6']_8input_1024entry_5hash_32bpi.pickle.lzma,67.20727848,0.71577381,0.570806962,0.635123239,1443,573,1085
['portfolio6']_8input_512entry_20hash_32bpi.pickle.lzma,67.10838608,0.739082366,0.528876582,0.616555223,1337,472,1191
['portfolio6']_8input_256entry_10hash_32bpi.pickle.lzma,67.04905063,0.732470334,0.537183544,0.619808307,1358,496,1170
['portfolio6']_16input_256entry_10hash_32bpi.pickle.lzma,66.81170886,0.709772952,0.568829114,0.631532718,1438,588,1090
['portfolio6']_8input_256entry_5hash_32bpi.pickle.lzma,66.79193038,0.712995484,0.56210443,0.628621986,1421,572,1107
['portfolio6']_16input_1024entry_10hash_8bpi.pickle.lzma,66.7721519,0.764669164,0.484572785,0.593220339,1225,377,1303
['portfolio6']_16input_512entry_10hash_8bpi.pickle.lzma,66.7721519,0.719234747,0.550237342,0.623487225,1391,543,1137
['portfolio6']_16input_128entry_5hash_32bpi.pickle.lzma,66.75237342,0.681993984,0.627768987,0.653759011,1587,740,941
['portfolio6']_16input_1024entry_5hash_8bpi.pickle.lzma,66.67325949,0.775310255,0.469541139,0.584873121,1187,344,1341
['portfolio6']_8input_128entry_5hash_32bpi.pickle.lzma,66.65348101,0.696545285,0.590189873,0.638972163,1492,650,1036
['portfolio6']_16input_256entry_10hash_16bpi.pickle.lzma,66.63370253,0.701485386,0.579113924,0.634452871,1464,623,1064
['portfolio6']_4input_1024entry_20hash_32bpi.pickle.lzma,66.61392405,0.681190682,0.62460443,0.651671482,1579,739,949
['portfolio6']_8input_128entry_10hash_16bpi.pickle.lzma,66.57436709,0.692555147,0.596123418,0.640731293,1507,669,1021
['portfolio6']_8input_512entry_10hash_16bpi.pickle.lzma,66.47547468,0.676408302,0.631724684,0.653303334,1597,764,931
['portfolio6']_8input_128entry_5hash_16bpi.pickle.lzma,66.39636076,0.6939635,0.586629747,0.635798499,1483,654,1045
['portfolio6']_32input_512entry_5hash_32bpi.pickle.lzma,66.3568038,0.666264576,0.655458861,0.660817547,1657,830,871
['portfolio6']_8input_1024entry_20hash_16bpi.pickle.lzma,66.23813291,0.679179398,0.615506329,0.645777132,1556,735,972
['portfolio6']_8input_128entry_20hash_32bpi.pickle.lzma,66.17879747,0.690764925,0.585838608,0.633989726,1481,663,1047
