model_file,accuracy,precision,recall,f1_score,true_positives,false_positives,false_negatives
['portfolio6']_16input_1024entry_1hash_16bpi.pickle.lzma,71.97389240506328,0.9250191277735271,0.47824367088607594,0.6305084745762711,1209,98,1319
['portfolio6']_16input_1024entry_1hash_32bpi.pickle.lzma,77.82832278481013,0.9276595744680851,0.6036392405063291,0.7313683201533668,1526,119,1002
['portfolio6']_16input_1024entry_1hash_64bpi.pickle.lzma,85.00791139240506,0.9308666017526777,0.7563291139240507,0.8345700567437799,1912,142,616
['portfolio6']_16input_1024entry_2hash_16bpi.pickle.lzma,72.56724683544303,0.9279819954988747,0.48931962025316456,0.6407666407666408,1237,96,1291
['portfolio6']_16input_1024entry_2hash_32bpi.pickle.lzma,77.59098101265823,0.9154258487194759,0.6079905063291139,0.7306869503208937,1537,142,991
['portfolio6']_16input_1024entry_2hash_4bpi.pickle.lzma,65.0118670886076,0.7689581856839122,0.42919303797468356,0.5509012439705508,1085,326,1443
['portfolio6']_16input_1024entry_2hash_64bpi.pickle.lzma,83.93987341772153,0.9294294294294294,0.7345727848101266,0.8205921343349536,1857,141,671
['portfolio6']_16input_1024entry_2hash_8bpi.pickle.lzma,62.89556962025317,0.6933570581257414,0.4624208860759494,0.5548172757475083,1169,517,1359
['portfolio6']_16input_1024entry_3hash_16bpi.pickle.lzma,71.95411392405063,0.9243119266055045,0.47824367088607594,0.6303441084462982,1209,99,1319
['portfolio6']_16input_1024entry_3hash_32bpi.pickle.lzma,78.56012658227847,0.928232502965599,0.6190664556962026,0.7427622211675368,1565,121,963
['portfolio6']_16input_1024entry_3hash_4bpi.pickle.lzma,63.70648734177215,0.8069087688219664,0.3603639240506329,0.4982225868197976,911,218,1617
['portfolio6']_16input_1024entry_3hash_64bpi.pickle.lzma,84.15743670886076,0.9289617486338798,0.7397151898734177,0.8236071349922924,1870,143,658
['portfolio6']_16input_1024entry_3hash_8bpi.pickle.lzma,68.78955696202532,0.7892813641900122,0.5126582278481012,0.6215827338129496,1296,346,1232
['portfolio6']_16input_1024entry_4hash_16bpi.pickle.lzma,73.10126582278481,0.8395348837209302,0.5712025316455697,0.67984934086629,1444,276,1084
['portfolio6']_16input_1024entry_4hash_32bpi.pickle.lzma,76.16693037974683,0.9142141515341264,0.5775316455696202,0.7078787878787879,1460,137,1068
['portfolio6']_16input_1024entry_4hash_4bpi.pickle.lzma,63.70648734177215,0.7381443298969073,0.4248417721518987,0.5392919909615869,1074,381,1454
['portfolio6']_16input_1024entry_4hash_64bpi.pickle.lzma,83.10917721518987,0.9257375381485249,0.7199367088607594,0.8099688473520249,1820,146,708
['portfolio6']_16input_1024entry_4hash_8bpi.pickle.lzma,68.33465189873418,0.7824497257769653,0.5079113924050633,0.615975053969777,1284,357,1244
['portfolio6']_16input_1024entry_5hash_16bpi.pickle.lzma,56.60601265822785,0.6403361344537815,0.3014240506329114,0.40989779451317915,762,428,1766
['portfolio6']_16input_1024entry_5hash_32bpi.pickle.lzma,75.65268987341773,0.9230267449445532,0.5597310126582279,0.6968726914553066,1415,118,1113
